n;e;temp;name
69.757;27.012;5;Utsjoki Kevo Kevojärvi
69.04851;27.75679;3;Inari Seitalaassa
61.52242;28.18491;2.3;Puumala kirkonkylä
60.20867;25.1959;4;Helsinki Vuosaari satama
60.09136;19.9291;3.9;Maarianhamina Länsisatama
60.11584;20.29765;3.6;Lumparland Långnäs satama
61.50124;23.76478;4.5;Tampere Tampella
67.99746;24.20955;3.3;Kittilä Lompolonvuoma
66.1715;29.1364;2.6;Kuusamo Ruka Talvijärvi
60.29128;24.56788;3.8;Espoo Nuuksio
60.17802;24.78732;4.3;Espoo Tapiola
