objectid;id_nro;xkoord;ykoord;vaesto
24791.0;58398.0;407000.0;6686000.0;901.0
24790.0;58397.0;406000.0;6686000.0;382.0
24789.0;58396.0;405000.0;6686000.0;81.0
24788.0;58395.0;404000.0;6686000.0;48.0
24787.0;58394.0;403000.0;6686000.0;9.0
24784.0;58391.0;400000.0;6686000.0;5.0
24782.0;58389.0;398000.0;6686000.0;2.0
24781.0;58388.0;397000.0;6686000.0;69.0
24780.0;58387.0;396000.0;6686000.0;676.0
24779.0;58386.0;395000.0;6686000.0;1033.0
24778.0;58385.0;394000.0;6686000.0;2.0
24777.0;58384.0;393000.0;6686000.0;752.0
24776.0;58383.0;392000.0;6686000.0;3224.0
24775.0;58382.0;391000.0;6686000.0;5098.0
24774.0;58381.0;390000.0;6686000.0;2066.0
24773.0;58380.0;389000.0;6686000.0;692.0
24772.0;58379.0;388000.0;6686000.0;203.0
24771.0;58378.0;387000.0;6686000.0;214.0
24770.0;58377.0;386000.0;6686000.0;3.0
24768.0;58375.0;384000.0;6686000.0;15.0
24767.0;58374.0;383000.0;6686000.0;55.0
24766.0;58373.0;382000.0;6686000.0;31.0
24765.0;58372.0;381000.0;6686000.0;532.0
24764.0;58371.0;380000.0;6686000.0;90.0
24761.0;58368.0;377000.0;6686000.0;88.0
24760.0;58367.0;376000.0;6686000.0;199.0
24759.0;58366.0;375000.0;6686000.0;488.0
24758.0;58365.0;374000.0;6686000.0;149.0
24757.0;58364.0;373000.0;6686000.0;9.0
24756.0;58363.0;372000.0;6686000.0;67.0
24755.0;58362.0;371000.0;6686000.0;22.0
24754.0;58361.0;370000.0;6686000.0;11.0
24753.0;58360.0;369000.0;6686000.0;2.0
24751.0;58358.0;367000.0;6686000.0;4.0
24749.0;58356.0;365000.0;6686000.0;10.0
24747.0;58354.0;363000.0;6686000.0;27.0
24746.0;58353.0;362000.0;6686000.0;24.0
24744.0;58351.0;360000.0;6686000.0;16.0
24327.0;57724.0;408000.0;6685000.0;411.0
24326.0;57723.0;407000.0;6685000.0;600.0
24325.0;57722.0;406000.0;6685000.0;54.0
24324.0;57721.0;405000.0;6685000.0;48.0
24323.0;57720.0;404000.0;6685000.0;43.0
24322.0;57719.0;403000.0;6685000.0;50.0
24321.0;57718.0;402000.0;6685000.0;30.0
24319.0;57716.0;400000.0;6685000.0;1.0
24318.0;57715.0;399000.0;6685000.0;5.0
24317.0;57714.0;398000.0;6685000.0;12.0
24316.0;57713.0;397000.0;6685000.0;61.0
24315.0;57712.0;396000.0;6685000.0;1064.0
24314.0;57711.0;395000.0;6685000.0;1475.0
24313.0;57710.0;394000.0;6685000.0;9.0
24312.0;57709.0;393000.0;6685000.0;1016.0
24311.0;57708.0;392000.0;6685000.0;2447.0
24310.0;57707.0;391000.0;6685000.0;5370.0
24309.0;57706.0;390000.0;6685000.0;4728.0
24308.0;57705.0;389000.0;6685000.0;1126.0
24307.0;57704.0;388000.0;6685000.0;168.0
24306.0;57703.0;387000.0;6685000.0;1652.0
24305.0;57702.0;386000.0;6685000.0;4010.0
24304.0;57701.0;385000.0;6685000.0;358.0
24303.0;57700.0;384000.0;6685000.0;824.0
24302.0;57699.0;383000.0;6685000.0;93.0
24301.0;57698.0;382000.0;6685000.0;998.0
24300.0;57697.0;381000.0;6685000.0;276.0
24299.0;57696.0;380000.0;6685000.0;109.0
24298.0;57695.0;379000.0;6685000.0;22.0
24296.0;57693.0;377000.0;6685000.0;825.0
24295.0;57692.0;376000.0;6685000.0;4.0
24294.0;57691.0;375000.0;6685000.0;1132.0
24293.0;57690.0;374000.0;6685000.0;891.0
24292.0;57689.0;373000.0;6685000.0;216.0
24291.0;57688.0;372000.0;6685000.0;9.0
24290.0;57687.0;371000.0;6685000.0;121.0
24289.0;57686.0;370000.0;6685000.0;13.0
24288.0;57685.0;369000.0;6685000.0;6.0
24285.0;57682.0;366000.0;6685000.0;6.0
24284.0;57681.0;365000.0;6685000.0;6.0
24283.0;57680.0;364000.0;6685000.0;14.0
24282.0;57679.0;363000.0;6685000.0;12.0
24281.0;57678.0;362000.0;6685000.0;13.0
24280.0;57677.0;361000.0;6685000.0;15.0
